YPODX7,2023-7-7,10:50:23,31.84,992.39,32.64,38.23,221.00,0,0,0,,,,,,,,,,,7780,16246,9682,8025,26571,2872,13102,10104,
YPODX7,2023-7-7,10:50:32,31.85,992.33,32.70,38.23,225.00,1,1,1,,,,,,,,,,,7760,13576,9674,7258,26580,2872,13103,9091,
YPODX7,2023-7-7,10:50:41,31.86,992.29,32.74,38.36,227.00,2,2,2,,,,,,,,,,,7758,12514,9672,6647,26586,2869,13102,8348,
YPODX7,2023-7-7,10:50:49,31.89,992.33,32.79,38.45,227.00,2,3,3,,,,,,,,,,,7756,11607,9670,6188,26589,2865,13101,7780,
YPODX7,2023-7-7,10:50:58,31.95,992.31,32.85,38.45,223.00,3,4,4,,,,,,,,,,,7754,10663,9670,5816,26593,2865,13100,7341,
YPODX7,2023-7-7,10:51:7,31.97,992.32,32.91,38.35,218.00,3,4,4,,,,,,,,,,,7751,9692,9669,5491,26597,2862,13099,6986,
YPODX7,2023-7-7,10:51:15,32.03,992.32,32.98,38.30,217.00,3,5,5,,,,,,,,,,,7751,8870,9669,5224,26599,2862,13098,6712,
YPODX7,2023-7-7,10:51:24,32.08,992.31,33.05,38.30,219.00,3,5,5,,,,,,,,,,,7749,8187,9667,4984,26601,2861,13096,6480,
YPODX7,2023-7-7,10:51:33,32.14,992.37,33.11,38.20,220.00,3,5,6,,,,,,,,,,,7749,7630,9666,4768,26602,2862,13095,6280,
YPODX7,2023-7-7,10:51:41,32.15,992.31,33.13,37.95,219.00,2,4,5,,,,,,,,,,,7747,7186,9666,4586,26604,2858,13094,6109,
YPODX7,2023-7-7,10:51:50,32.18,992.41,33.17,38.11,215.00,3,5,6,,,,,,,,,,,7747,6822,9666,4409,26605,2863,13093,5961,
YPODX7,2023-7-7,10:51:59,32.20,992.35,33.20,38.18,215.00,4,6,6,,,,,,,,,,,7746,6526,9666,4239,26606,2856,13092,5834,
YPODX7,2023-7-7,10:52:8,32.21,992.38,33.21,38.11,216.00,4,7,7,,,,,,,,,,,7745,6282,9665,4091,26607,2859,13091,5731,
YPODX7,2023-7-7,10:52:16,32.23,992.34,33.25,38.04,216.00,4,7,8,,,,,,,,,,,7745,6061,9666,3948,26608,2854,13090,5632,
YPODX7,2023-7-7,10:52:25,32.26,992.36,33.29,38.01,216.00,4,7,8,,,,,,,,,,,7744,5874,9666,3823,26608,2854,13089,5541,
YPODX7,2023-7-7,10:52:34,32.27,992.37,33.31,37.86,217.00,3,5,6,,,,,,,,,,,7744,5712,9664,3716,26608,2852,13088,5460,
YPODX7,2023-7-7,10:52:42,32.29,992.39,33.32,37.66,217.00,5,7,7,,,,,,,,,,,7743,5547,9664,3620,26609,2854,13087,5379,
YPODX7,2023-7-7,10:52:51,32.30,992.36,33.35,37.56,215.00,4,5,5,,,,,,,,,,,7743,5403,9664,3528,26609,2849,13087,5301,
YPODX7,2023-7-7,10:53:0,32.33,992.34,33.37,37.56,215.00,4,6,6,,,,,,,,,,,7743,5285,9663,3444,26610,2850,13086,5240,
YPODX7,2023-7-7,10:53:8,32.34,992.38,33.40,37.32,215.00,3,5,5,,,,,,,,,,,7742,5166,9664,3370,26609,2850,13085,5176,
YPODX7,2023-7-7,10:53:17,32.37,992.39,33.43,37.25,217.00,3,5,5,,,,,,,,,,,7742,5057,9663,3298,26611,2849,13086,5117,
YPODX7,2023-7-7,10:53:26,32.39,992.39,33.44,37.25,222.00,3,4,4,,,,,,,,,,,7742,4970,9663,3232,26611,2845,13085,5069,
